BAY,BAM,Gender,Score,SAY,SAM,SLD
5,9,M,45,9,5,Well
5,3,F,56,10,6,Well
5,11,F,33,8,3,Well
11,10,M,13,6,3,Severe
5,11,F,81,13,1,Well
17,10,F,87,13,7,Severe
14,11,M,18,6,8,Severe
11,7,M,81,13,1,Well
12,7,F,77,12,7,Neutral
14,11,M,45,9,5,Severe
9,5,M,97,14,7,Well
18,10,M,38,8,8,Severe
8,10,F,40,9,0,Good
12,8,M,11,6,1,Severe
16,6,F,46,9,6,Severe
14,1,F,94,14,4,Good
11,10,M,74,12,4,Well
14,3,M,3,5,3,Severe
13,11,M,25,7,5,Severe
18,9,F,72,12,2,Severe
10,1,M,96,14,6,Well
9,11,M,52,10,2,Good
18,4,M,22,7,2,Severe
10,5,M,55,10,5,Neutral
13,8,M,33,8,3,Severe
7,6,M,28,7,8,Good
8,10,M,16,6,6,Severe
14,8,M,28,7,8,Severe
5,4,M,0,5,0,Mild
6,11,F,1,5,1,Severe
10,8,M,12,6,2,Severe
15,2,F,59,10,9,Severe
8,11,M,17,6,7,Severe
17,2,F,70,12,0,Severe
17,0,M,4,5,4,Severe
17,7,F,62,11,2,Severe
5,5,F,68,11,8,Well
15,6,M,24,7,4,Severe
6,9,F,55,10,5,Well
16,1,M,16,6,6,Severe
17,7,F,90,14,0,Severe
7,11,F,79,12,9,Well
8,5,F,88,13,8,Well
7,2,M,41,9,1,Well
15,1,F,80,13,0,Severe
18,8,M,69,11,9,Severe
10,6,F,81,13,1,Well
11,6,M,70,12,0,Well
8,6,M,14,6,4,Severe
8,3,M,56,10,6,Well
18,5,F,93,14,3,Severe
6,3,F,0,5,0,Severe
17,11,F,48,9,8,Severe
12,8,F,71,12,1,Severe
6,6,M,77,12,7,Well
5,4,F,29,7,9,Well
8,2,M,12,6,2,Severe
13,11,M,30,8,0,Severe
16,11,F,35,8,5,Severe
7,4,M,1,5,1,Severe
18,1,M,67,11,7,Severe
8,4,M,15,6,5,Severe
15,0,M,17,6,7,Severe
13,5,M,8,5,8,Severe
16,7,F,46,9,6,Severe
10,2,M,25,7,5,Severe
5,8,F,20,7,0,Well
6,10,F,40,9,0,Well
10,9,M,13,6,3,Severe
16,8,M,85,13,5,Severe
15,7,F,18,6,8,Severe
6,11,M,54,10,4,Well
7,2,M,17,6,7,Severe
17,2,F,89,13,9,Severe
13,3,M,81,13,1,Mild
15,1,M,42,9,2,Severe
15,9,F,42,9,2,Severe
16,10,M,21,7,1,Severe
9,1,F,37,8,7,Severe
11,10,M,83,13,3,Well
15,2,F,25,7,5,Severe
9,11,F,76,12,6,Well
16,6,M,88,13,8,Severe
5,8,M,42,9,2,Well
16,11,F,84,13,4,Severe
14,11,F,32,8,2,Severe
16,3,F,100,15,0,Severe
11,9,M,51,10,1,Severe
17,2,M,35,8,5,Severe
7,6,F,12,6,2,Severe
14,7,M,100,15,0,Good
7,10,M,61,11,1,Well
16,8,F,84,13,4,Severe
14,7,F,36,8,6,Severe
7,4,F,69,11,9,Well
7,8,M,83,13,3,Well
8,3,F,46,9,6,Well
9,9,F,91,14,1,Well
14,8,M,93,14,3,Mild
12,9,M,19,6,9,Severe
15,5,F,14,6,4,Severe
13,10,F,86,13,6,Mild
18,0,F,62,11,2,Severe
15,6,F,47,9,7,Severe
5,7,F,51,10,1,Well
6,0,F,92,14,2,Well
5,6,M,93,14,3,Well
9,5,M,31,8,1,Severe
11,7,F,30,8,0,Severe
7,0,M,22,7,2,Good
17,0,F,16,6,6,Severe
14,8,M,13,6,3,Severe
12,10,M,23,7,3,Severe
11,1,M,37,8,7,Severe
14,8,F,6,5,6,Severe
15,2,M,49,9,9,Severe
17,8,F,1,5,1,Severe
15,3,F,13,6,3,Severe
6,1,F,60,11,0,Well
17,6,F,28,7,8,Severe
7,2,F,66,11,6,Well
13,8,M,30,8,0,Severe
10,9,M,68,11,8,Well
14,8,M,8,5,8,Severe
6,8,M,17,6,7,Mild
8,8,M,59,10,9,Well
10,6,M,28,7,8,Severe
18,5,F,39,8,9,Severe
11,11,M,50,10,0,Severe
13,1,F,51,10,1,Severe
6,0,M,6,5,6,Severe
9,0,F,44,9,4,Good
6,2,M,96,14,6,Well
9,6,F,76,12,6,Well
12,1,M,46,9,6,Severe
5,10,M,38,8,8,Well
12,10,M,69,11,9,Severe
13,10,M,26,7,6,Severe
16,9,F,21,7,1,Severe
15,3,F,63,11,3,Severe
18,11,M,18,6,8,Severe
17,11,M,92,14,2,Severe
12,7,F,91,14,1,Well
9,2,M,66,11,6,Well
7,2,F,73,12,3,Well
13,11,F,57,10,7,Severe
15,1,M,60,11,0,Severe
9,2,F,86,13,6,Well
7,0,F,14,6,4,Severe
13,8,F,43,9,3,Severe
10,0,M,30,8,0,Severe
6,8,M,85,13,5,Well
17,0,F,3,5,3,Severe
15,1,F,61,11,1,Severe
18,8,F,44,9,4,Severe
13,10,F,34,8,4,Severe
14,2,F,98,14,8,Well
6,2,M,53,10,3,Well
9,9,F,20,7,0,Severe
16,3,M,15,6,5,Severe
18,5,M,53,10,3,Severe
5,0,F,85,13,5,Well
15,2,F,56,10,6,Severe
12,4,F,3,5,3,Severe
16,3,F,82,13,2,Severe
16,0,M,11,6,1,Severe
6,4,M,29,7,9,Well
18,11,F,29,7,9,Severe
16,1,M,8,5,8,Severe
18,1,M,63,11,3,Severe
11,2,F,97,14,7,Well
11,3,F,90,14,0,Well
15,0,M,50,10,0,Severe
11,11,F,98,14,8,Well
8,4,M,82,13,2,Well
16,2,F,87,13,7,Severe
11,9,M,19,6,9,Severe
17,6,M,70,12,0,Severe
8,10,M,74,12,4,Well
6,5,M,87,13,7,Well
12,0,M,30,8,0,Severe
17,11,M,95,14,5,Severe
11,9,M,4,5,4,Severe
8,11,M,99,14,9,Well
5,6,M,73,12,3,Well
10,2,F,92,14,2,Well
6,6,M,95,14,5,Well
16,8,F,0,5,0,Severe
18,3,M,93,14,3,Severe
7,10,M,54,10,4,Well
18,3,F,35,8,5,Severe
12,1,F,55,10,5,Severe
7,5,F,100,15,0,Well
8,0,F,74,12,4,Well
6,9,F,10,6,0,Severe
18,0,M,39,8,9,Severe
8,5,F,10,6,0,Severe
9,9,M,40,9,0,Severe
10,11,M,75,12,5,Well
16,10,M,12,6,2,Severe
16,3,F,67,11,7,Severe
18,0,M,51,10,1,Severe
7,10,F,71,12,1,Well
18,10,F,78,12,8,Severe
11,11,F,23,7,3,Severe
13,2,F,55,10,5,Severe
5,1,M,5,5,5,Good
9,10,F,61,11,1,Well
17,2,F,46,9,6,Severe
9,9,M,100,15,0,Well
15,5,M,75,12,5,Severe
11,11,F,37,8,7,Severe
11,0,F,29,7,9,Severe
10,10,M,45,9,5,Severe
5,11,F,100,15,0,Well
16,7,M,74,12,4,Severe
7,3,M,9,5,9,Severe
9,2,F,3,5,3,Severe
14,3,M,29,7,9,Severe
14,9,M,85,13,5,Severe
12,1,F,75,12,5,Good
16,0,F,49,9,9,Severe
16,4,M,71,12,1,Severe
16,9,F,83,13,3,Severe
5,2,M,1,5,1,Mild
11,1,M,92,14,2,Well
7,5,F,47,9,7,Well
13,11,M,66,11,6,Severe
11,2,F,33,8,3,Severe
15,10,M,70,12,0,Severe
7,3,F,54,10,4,Well
10,11,M,3,5,3,Severe
9,6,M,77,12,7,Well
5,2,F,1,5,1,Mild
12,10,M,42,9,2,Severe
14,8,M,84,13,4,Severe
10,4,M,83,13,3,Well
6,6,M,36,8,6,Well
5,7,M,20,7,0,Well
17,7,M,99,14,9,Severe
15,8,F,99,14,9,Severe
10,8,M,31,8,1,Severe
11,2,M,64,11,4,Good
14,2,F,74,12,4,Severe
12,0,M,24,7,4,Severe
14,2,F,84,13,4,Severe
11,10,F,50,10,0,Severe
16,5,M,87,13,7,Severe
15,5,M,3,5,3,Severe
8,2,F,5,5,5,Severe
11,4,F,47,9,7,Severe
18,3,M,43,9,3,Severe
7,4,F,34,8,4,Well
11,10,M,89,13,9,Well
9,6,F,8,5,8,Severe
11,0,M,36,8,6,Severe
6,0,M,87,13,7,Well
15,9,M,90,14,0,Severe
11,1,M,73,12,3,Well
11,11,M,32,8,2,Severe
12,0,F,59,10,9,Severe
16,0,F,30,8,0,Severe
8,7,F,10,6,0,Severe
12,5,M,95,14,5,Well
5,6,M,34,8,4,Well
10,6,M,46,9,6,Severe
8,2,F,91,14,1,Well
5,0,M,79,12,9,Well
14,4,F,89,13,9,Severe
15,10,F,11,6,1,Severe
13,5,M,54,10,4,Severe
12,9,M,80,13,0,Good
5,8,F,18,6,8,Well
13,8,M,49,9,9,Severe
18,8,M,14,6,4,Severe
9,6,M,35,8,5,Severe
5,5,F,21,7,1,Well
14,9,M,78,12,8,Severe
7,2,F,98,14,8,Well
6,11,F,67,11,7,Well
7,2,F,93,14,3,Well
6,3,F,36,8,6,Well
10,9,M,41,9,1,Severe
12,0,F,27,7,7,Severe
13,9,F,63,11,3,Severe
17,3,F,24,7,4,Severe
10,8,F,26,7,6,Severe
18,3,F,86,13,6,Severe
8,2,M,85,13,5,Well
18,1,M,2,5,2,Severe
6,5,M,63,11,3,Well
9,9,M,81,13,1,Well
15,9,M,60,11,0,Severe
17,10,F,74,12,4,Severe
8,8,M,97,14,7,Well
7,7,F,88,13,8,Well
9,3,F,48,9,8,Good
8,7,M,10,6,0,Severe
6,2,F,34,8,4,Well
13,5,F,12,6,2,Severe
14,6,M,79,12,9,Severe
15,2,M,23,7,3,Severe
8,8,F,4,5,4,Severe
11,9,F,21,7,1,Severe
18,9,M,82,13,2,Severe
16,4,F,6,5,6,Severe
16,3,F,51,10,1,Severe
8,11,M,92,14,2,Well
10,5,F,59,10,9,Good
10,3,F,6,5,6,Severe
5,9,F,17,6,7,Well
18,8,M,30,8,0,Severe
18,7,F,91,14,1,Severe
13,1,M,88,13,8,Well
8,8,F,3,5,3,Severe
7,6,M,59,10,9,Well
13,4,M,61,11,1,Severe
17,3,F,49,9,9,Severe
10,10,M,11,6,1,Severe
15,11,F,55,10,5,Severe
11,11,F,20,7,0,Severe
12,8,F,64,11,4,Severe
5,2,M,42,9,2,Well
5,11,M,35,8,5,Well
9,11,M,55,10,5,Well
11,3,F,33,8,3,Severe
13,7,M,81,13,1,Severe
7,0,F,83,13,3,Well
18,9,F,63,11,3,Severe
7,0,M,97,14,7,Well
18,3,M,96,14,6,Severe
11,8,M,91,14,1,Well
9,5,F,23,7,3,Severe
7,5,F,21,7,1,Mild
10,10,F,90,14,0,Well
16,11,M,76,12,6,Severe
12,0,F,56,10,6,Severe
8,7,M,25,7,5,Severe
14,5,M,79,12,9,Severe
17,10,F,48,9,8,Severe
12,6,F,23,7,3,Severe
9,6,M,85,13,5,Well
16,9,F,36,8,6,Severe
12,7,F,95,14,5,Well
10,10,F,80,13,0,Well
15,2,F,17,6,7,Severe
15,6,F,33,8,3,Severe
13,0,F,11,6,1,Severe
7,0,M,23,7,3,Good
15,8,M,15,6,5,Severe
15,8,M,57,10,7,Severe
12,7,M,74,12,4,Mild
15,7,M,96,14,6,Severe
16,1,M,67,11,7,Severe
11,3,M,67,11,7,Good
13,4,M,43,9,3,Severe
12,2,M,19,6,9,Severe
18,10,F,94,14,4,Severe
13,0,M,5,5,5,Severe
17,3,M,70,12,0,Severe
14,9,M,88,13,8,Severe
6,10,F,57,10,7,Well
12,8,F,73,12,3,Mild
17,3,M,9,5,9,Severe
10,4,F,65,11,5,Well
18,10,M,28,7,8,Severe
7,2,F,9,5,9,Severe
8,1,M,95,14,5,Well
15,4,F,59,10,9,Severe
18,0,M,91,14,1,Severe
11,5,F,93,14,3,Well
9,3,M,32,8,2,Severe
6,11,M,92,14,2,Well
10,9,M,11,6,1,Severe
9,11,M,76,12,6,Well
13,1,F,56,10,6,Severe
10,3,M,79,12,9,Well
8,11,M,23,7,3,Severe
15,2,F,61,11,1,Severe
16,11,M,86,13,6,Severe
17,8,M,92,14,2,Severe
16,8,M,45,9,5,Severe
5,6,F,12,6,2,Well
12,11,F,92,14,2,Well
17,0,F,92,14,2,Severe
15,3,F,1,5,1,Severe
9,2,F,33,8,3,Severe
14,9,M,16,6,6,Severe
11,0,F,54,10,4,Severe
13,7,M,0,5,0,Severe
13,9,F,73,12,3,Severe
9,0,M,86,13,6,Well
10,8,M,55,10,5,Mild
9,1,F,51,10,1,Well
11,1,M,14,6,4,Severe
14,9,M,87,13,7,Severe
5,7,M,81,13,1,Well
7,3,M,45,9,5,Well
8,11,M,85,13,5,Well
15,3,F,36,8,6,Severe
14,7,M,37,8,7,Severe
6,7,F,49,9,9,Well
16,8,F,55,10,5,Severe
6,2,F,75,12,5,Well
8,8,F,75,12,5,Well
7,3,M,19,6,9,Severe
18,9,F,88,13,8,Severe
12,11,M,14,6,4,Severe
11,5,M,30,8,0,Severe
5,10,M,4,5,4,Severe
10,4,F,56,10,6,Good
18,8,F,100,15,0,Severe
15,6,F,1,5,1,Severe
18,11,F,35,8,5,Severe
7,1,F,13,6,3,Severe
9,1,F,80,13,0,Well
11,8,F,3,5,3,Severe
16,1,M,91,14,1,Severe
14,11,F,72,12,2,Severe
12,0,F,86,13,6,Well
5,11,M,82,13,2,Well
10,6,M,63,11,3,Well
10,2,F,72,12,2,Well
11,11,F,26,7,6,Severe
15,3,F,22,7,2,Severe
12,3,F,46,9,6,Severe
14,0,F,61,11,1,Severe
12,4,M,79,12,9,Good
8,0,M,46,9,6,Well
11,11,M,93,14,3,Well
11,3,F,48,9,8,Severe
16,2,M,41,9,1,Severe
8,10,F,61,11,1,Well
11,2,F,51,10,1,Severe
16,10,F,10,6,0,Severe
8,0,F,73,12,3,Well
15,1,M,19,6,9,Severe
5,6,F,93,14,3,Well
7,11,F,51,10,1,Well
14,3,M,47,9,7,Severe
5,1,M,57,10,7,Well
5,10,F,66,11,6,Well
9,2,M,74,12,4,Well
6,7,F,61,11,1,Well
11,7,F,35,8,5,Severe
10,5,M,79,12,9,Well
12,6,M,34,8,4,Severe
13,9,M,9,5,9,Severe
5,1,F,79,12,9,Well
14,0,M,78,12,8,Severe
6,7,F,19,6,9,Good
16,1,F,43,9,3,Severe
14,10,F,67,11,7,Severe
10,2,F,84,13,4,Well
16,0,F,79,12,9,Severe
7,2,M,9,5,9,Severe
7,8,F,99,14,9,Well
5,5,F,16,6,6,Well
17,1,F,42,9,2,Severe
7,0,F,19,6,9,Mild
6,3,F,63,11,3,Well
12,7,M,31,8,1,Severe
5,7,F,66,11,6,Well
16,7,M,93,14,3,Severe
9,11,F,6,5,6,Severe
14,9,F,98,14,8,Mild
6,0,F,80,13,0,Well
6,4,F,53,10,3,Well
6,10,F,73,12,3,Well
12,5,M,82,13,2,Well
14,3,F,87,13,7,Severe
12,4,M,61,11,1,Severe
18,0,F,42,9,2,Severe
5,11,M,12,6,2,Good
8,3,M,59,10,9,Well
13,3,M,73,12,3,Severe
12,8,M,20,7,0,Severe
13,8,F,47,9,7,Severe
8,4,M,33,8,3,Mild
12,2,M,71,12,1,Mild
18,1,M,3,5,3,Severe
17,4,F,77,12,7,Severe
17,7,F,5,5,5,Severe
17,5,M,52,10,2,Severe
14,8,M,72,12,2,Severe
7,5,F,96,14,6,Well
16,8,F,22,7,2,Severe
7,7,F,14,6,4,Severe
13,11,M,0,5,0,Severe
10,5,F,35,8,5,Severe
10,5,F,5,5,5,Severe
6,0,F,34,8,4,Well
11,9,F,55,10,5,Severe
18,9,F,94,14,4,Severe
13,10,F,20,7,0,Severe
12,2,M,70,12,0,Mild
11,1,M,89,13,9,Well
14,0,M,34,8,4,Severe
11,5,F,84,13,4,Well
8,3,F,34,8,4,Good
16,6,M,90,14,0,Severe
11,11,M,11,6,1,Severe
14,3,F,61,11,1,Severe
9,4,M,44,9,4,Neutral
11,10,F,98,14,8,Well
17,3,F,62,11,2,Severe
13,3,F,59,10,9,Severe
8,0,M,38,8,8,Well
8,10,M,57,10,7,Well
16,1,F,24,7,4,Severe
9,9,F,9,5,9,Severe
6,5,F,49,9,9,Well
6,0,M,27,7,7,Well
16,3,M,53,10,3,Severe
12,3,F,74,12,4,Good
9,4,M,29,7,9,Severe
14,0,M,83,13,3,Severe
10,3,M,18,6,8,Severe
18,2,F,49,9,9,Severe
14,3,M,50,10,0,Severe
14,6,F,17,6,7,Severe
9,5,M,90,14,0,Well
10,6,M,36,8,6,Severe
9,11,F,53,10,3,Good
8,2,F,84,13,4,Well
8,9,F,52,10,2,Well
16,11,M,92,14,2,Severe
5,7,M,8,5,8,Good
15,0,M,16,6,6,Severe
16,4,F,55,10,5,Severe
15,5,F,12,6,2,Severe
11,0,F,68,11,8,Well
9,7,M,64,11,4,Well
5,0,F,71,12,1,Well
11,4,F,30,8,0,Severe
6,0,F,100,15,0,Well
7,10,M,57,10,7,Well
6,5,M,9,5,9,Severe
9,1,M,25,7,5,Severe
16,2,M,56,10,6,Severe
10,6,M,17,6,7,Severe
13,2,F,80,13,0,Mild
13,5,M,37,8,7,Severe
13,4,F,46,9,6,Severe
9,10,F,25,7,5,Severe
14,3,F,11,6,1,Severe
10,8,M,73,12,3,Well
8,11,F,52,10,2,Well
17,7,M,8,5,8,Severe
18,4,M,93,14,3,Severe
18,9,M,40,9,0,Severe
13,6,M,61,11,1,Severe
14,1,F,98,14,8,Well
7,6,M,37,8,7,Well
11,5,M,100,15,0,Well
13,7,F,87,13,7,Neutral
13,4,F,20,7,0,Severe
17,6,F,64,11,4,Severe
10,6,M,55,10,5,Mild
17,9,F,31,8,1,Severe
5,6,M,56,10,6,Well
15,10,M,51,10,1,Severe
13,10,M,98,14,8,Well
11,7,F,79,12,9,Well
10,4,M,30,8,0,Severe
15,11,M,52,10,2,Severe
8,11,F,100,15,0,Well
7,3,F,55,10,5,Well
18,4,F,62,11,2,Severe
10,2,F,59,10,9,Well
8,4,F,3,5,3,Severe
17,3,F,4,5,4,Severe
7,0,M,88,13,8,Well
13,8,F,28,7,8,Severe
18,1,M,100,15,0,Severe
15,5,M,18,6,8,Severe
10,8,M,41,9,1,Severe
12,10,F,14,6,4,Severe
6,7,M,45,9,5,Well
11,3,F,20,7,0,Severe
10,3,M,13,6,3,Severe
14,4,M,48,9,8,Severe
16,4,M,31,8,1,Severe
15,3,F,84,13,4,Severe
17,1,M,72,12,2,Severe
18,3,M,16,6,6,Severe
11,3,F,70,12,0,Well
13,11,F,2,5,2,Severe
9,5,F,3,5,3,Severe
12,0,F,17,6,7,Severe
18,3,F,14,6,4,Severe
7,11,F,73,12,3,Well
5,1,M,1,5,1,Neutral
6,2,F,55,10,5,Well
13,0,F,5,5,5,Severe
9,9,M,39,8,9,Severe
7,2,M,93,14,3,Well
14,4,F,53,10,3,Severe
7,10,M,46,9,6,Well
10,5,F,28,7,8,Severe
12,0,F,94,14,4,Well
17,3,M,84,13,4,Severe
7,5,M,70,12,0,Well
13,11,M,91,14,1,Good
16,6,M,6,5,6,Severe
8,8,M,12,6,2,Severe
9,0,F,76,12,6,Well
8,6,M,76,12,6,Well
13,4,M,47,9,7,Severe
14,0,M,58,10,8,Severe
8,10,M,54,10,4,Well
14,1,M,54,10,4,Severe
13,6,M,76,12,6,Severe
15,8,F,29,7,9,Severe
6,1,F,89,13,9,Well
12,3,F,51,10,1,Severe
12,5,M,14,6,4,Severe
8,1,M,19,6,9,Severe
10,7,M,92,14,2,Well
7,1,F,42,9,2,Well
13,8,F,20,7,0,Severe
14,8,M,27,7,7,Severe
5,4,F,14,6,4,Well
17,7,F,78,12,8,Severe
6,8,F,81,13,1,Well
5,2,F,86,13,6,Well
12,1,F,39,8,9,Severe
16,8,F,64,11,4,Severe
6,8,M,47,9,7,Well
12,3,F,30,8,0,Severe
18,5,F,1,5,1,Severe
7,1,F,98,14,8,Well
14,0,F,89,13,9,Mild
16,5,F,14,6,4,Severe
8,7,M,53,10,3,Well
17,2,M,71,12,1,Severe
14,8,F,86,13,6,Severe
14,1,M,60,11,0,Severe
15,0,M,8,5,8,Severe
17,3,F,84,13,4,Severe
14,8,F,57,10,7,Severe
11,3,F,21,7,1,Severe
14,7,M,99,14,9,Good
8,3,F,33,8,3,Neutral
6,0,M,33,8,3,Well
10,1,F,46,9,6,Severe
16,5,M,44,9,4,Severe
15,4,F,94,14,4,Severe
7,8,M,57,10,7,Well
5,8,F,50,10,0,Well
6,2,F,57,10,7,Well
9,10,M,84,13,4,Well
8,4,F,85,13,5,Well
17,6,F,89,13,9,Severe
13,3,M,11,6,1,Severe
11,3,M,83,13,3,Well
16,8,F,19,6,9,Severe
15,10,F,63,11,3,Severe
11,6,M,11,6,1,Severe
9,8,F,15,6,5,Severe
14,7,M,31,8,1,Severe
6,8,F,11,6,1,Severe
6,11,F,89,13,9,Well
8,5,M,18,6,8,Severe
5,6,M,38,8,8,Well
7,4,F,94,14,4,Well
11,4,F,54,10,4,Severe
5,10,M,26,7,6,Well
17,1,M,75,12,5,Severe
16,11,M,24,7,4,Severe
13,2,F,21,7,1,Severe
5,9,M,25,7,5,Well
16,9,M,4,5,4,Severe
16,9,F,13,6,3,Severe
11,0,M,64,11,4,Good
11,0,F,17,6,7,Severe
10,7,M,48,9,8,Severe
10,4,F,53,10,3,Mild
9,5,F,25,7,5,Severe
9,3,M,63,11,3,Well
6,8,M,82,13,2,Well
14,4,F,31,8,1,Severe
10,4,F,40,9,0,Severe
17,10,F,34,8,4,Severe
5,5,M,27,7,7,Well
8,8,F,12,6,2,Severe
11,2,F,2,5,2,Severe
16,11,F,16,6,6,Severe
12,8,M,6,5,6,Severe
18,9,M,41,9,1,Severe
8,4,M,39,8,9,Good
13,8,M,70,12,0,Severe
17,9,M,13,6,3,Severe
8,9,M,80,13,0,Well
6,8,M,32,8,2,Well
13,8,M,28,7,8,Severe
17,5,F,70,12,0,Severe
10,6,M,22,7,2,Severe
12,6,M,15,6,5,Severe
12,3,M,34,8,4,Severe
10,2,M,26,7,6,Severe
12,8,M,51,10,1,Severe
10,9,F,67,11,7,Well
8,1,M,92,14,2,Well
6,3,M,87,13,7,Well
5,1,M,82,13,2,Well
13,7,M,93,14,3,Well
5,0,F,51,10,1,Well
11,9,M,41,9,1,Severe
8,0,F,32,8,2,Good
16,9,F,84,13,4,Severe
11,4,F,6,5,6,Severe
6,8,F,23,7,3,Well
8,4,M,34,8,4,Neutral
14,11,F,3,5,3,Severe
18,6,F,26,7,6,Severe
7,1,F,77,12,7,Well
12,2,F,62,11,2,Severe
10,4,F,10,6,0,Severe
14,5,F,97,14,7,Good
18,8,F,53,10,3,Severe
13,5,F,27,7,7,Severe
15,7,F,11,6,1,Severe
17,4,M,59,10,9,Severe
6,3,M,69,11,9,Well
18,0,F,40,9,0,Severe
8,11,M,38,8,8,Mild
7,7,F,78,12,8,Well
5,9,F,56,10,6,Well
9,0,M,96,14,6,Well
9,10,F,58,10,8,Well
14,7,F,64,11,4,Severe
11,11,F,12,6,2,Severe
7,2,F,26,7,6,Good
5,11,F,64,11,4,Well
15,6,M,4,5,4,Severe
10,8,F,40,9,0,Severe
14,8,M,15,6,5,Severe
6,5,F,76,12,6,Well
11,8,F,44,9,4,Severe
14,0,F,79,12,9,Severe
17,2,F,0,5,0,Severe
6,1,F,31,8,1,Well
8,4,M,57,10,7,Well
12,2,M,59,10,9,Severe
18,7,M,52,10,2,Severe
18,11,F,33,8,3,Severe
8,7,M,56,10,6,Well
10,5,F,0,5,0,Severe
9,0,M,35,8,5,Severe
6,7,F,65,11,5,Well
7,6,F,14,6,4,Severe
15,5,M,37,8,7,Severe
11,7,M,3,5,3,Severe
14,9,M,83,13,3,Severe
13,2,F,70,12,0,Severe
15,10,M,68,11,8,Severe
11,3,M,10,6,0,Severe
11,11,M,52,10,2,Severe
12,5,M,19,6,9,Severe
9,9,F,33,8,3,Severe
14,6,M,94,14,4,Mild
14,2,M,46,9,6,Severe
11,2,F,85,13,5,Well
10,10,M,3,5,3,Severe
16,1,M,68,11,8,Severe
14,11,F,93,14,3,Severe
8,2,F,75,12,5,Well
12,2,M,7,5,7,Severe
16,2,M,82,13,2,Severe
16,1,F,7,5,7,Severe
6,9,F,64,11,4,Well
12,0,M,20,7,0,Severe
5,1,M,96,14,6,Well
15,5,F,47,9,7,Severe
15,9,F,45,9,5,Severe
14,11,M,11,6,1,Severe
8,4,F,62,11,2,Well
17,4,M,88,13,8,Severe
16,1,F,45,9,5,Severe
13,11,F,6,5,6,Severe
6,3,F,16,6,6,Good
15,2,M,14,6,4,Severe
17,1,F,46,9,6,Severe
6,0,M,48,9,8,Well
11,9,M,8,5,8,Severe
14,9,M,18,6,8,Severe
5,2,F,70,12,0,Well
11,11,F,53,10,3,Severe
14,9,F,36,8,6,Severe
16,3,F,0,5,0,Severe
11,0,M,28,7,8,Severe
5,8,M,7,5,7,Mild
9,6,M,36,8,6,Severe
16,0,F,39,8,9,Severe
8,10,M,47,9,7,Well
5,1,M,40,9,0,Well
7,11,M,93,14,3,Well
8,8,M,47,9,7,Well
6,0,F,35,8,5,Well
8,1,M,78,12,8,Well
10,8,F,61,11,1,Good
6,6,F,33,8,3,Well
17,7,M,55,10,5,Severe
11,7,M,57,10,7,Severe
5,0,M,12,6,2,Well
7,2,F,69,11,9,Well
7,5,F,3,5,3,Severe
8,2,M,89,13,9,Well
6,7,F,26,7,6,Well
17,11,F,7,5,7,Severe
10,9,M,28,7,8,Severe
9,5,M,93,14,3,Well
5,11,M,89,13,9,Well
15,10,M,15,6,5,Severe
5,11,F,2,5,2,Severe
9,5,M,24,7,4,Severe
13,5,M,1,5,1,Severe
12,8,F,69,11,9,Severe
7,9,F,51,10,1,Well
15,1,F,21,7,1,Severe
16,5,F,61,11,1,Severe
5,6,F,8,5,8,Good
6,3,M,47,9,7,Well
14,4,M,5,5,5,Severe
15,4,M,99,14,9,Severe
10,6,M,82,13,2,Well
14,0,F,66,11,6,Severe
5,5,M,49,9,9,Well
9,10,F,56,10,6,Well
10,3,M,74,12,4,Well
11,11,M,78,12,8,Well
18,3,M,71,12,1,Severe
15,11,M,71,12,1,Severe
5,0,F,82,13,2,Well
14,7,F,31,8,1,Severe
13,0,F,88,13,8,Well
9,1,F,33,8,3,Severe
5,4,F,52,10,2,Well
16,8,M,33,8,3,Severe
6,11,F,83,13,3,Well
14,8,F,97,14,7,Mild
17,8,M,49,9,9,Severe
17,3,M,2,5,2,Severe
18,10,M,43,9,3,Severe
17,3,M,38,8,8,Severe
17,7,M,36,8,6,Severe
8,5,M,42,9,2,Well
13,2,F,74,12,4,Severe
6,11,F,68,11,8,Well
12,11,F,32,8,2,Severe
6,8,M,60,11,0,Well
14,7,M,63,11,3,Severe
9,4,M,24,7,4,Severe
9,8,F,86,13,6,Well
17,6,F,66,11,6,Severe
9,0,F,83,13,3,Well
14,10,F,55,10,5,Severe
14,9,M,32,8,2,Severe
12,0,M,36,8,6,Severe
12,11,F,6,5,6,Severe
11,3,M,25,7,5,Severe
5,3,F,84,13,4,Well
8,7,M,37,8,7,Neutral
17,8,M,44,9,4,Severe
6,10,M,42,9,2,Well
12,10,M,96,14,6,Well
13,9,F,24,7,4,Severe
7,7,M,73,12,3,Well
18,7,F,47,9,7,Severe
6,8,M,98,14,8,Well
18,1,F,11,6,1,Severe
9,5,M,60,11,0,Well
14,5,M,63,11,3,Severe
8,11,F,50,10,0,Well
9,8,F,97,14,7,Well
17,3,F,1,5,1,Severe
13,5,M,100,15,0,Well
15,10,M,2,5,2,Severe
14,1,F,36,8,6,Severe
16,9,M,13,6,3,Severe
7,5,F,32,8,2,Well
18,7,M,31,8,1,Severe
16,1,F,80,13,0,Severe
15,4,M,44,9,4,Severe
8,10,M,9,5,9,Severe
13,6,F,27,7,7,Severe
5,2,F,18,6,8,Well
9,4,M,66,11,6,Well
8,10,F,54,10,4,Well
17,10,M,5,5,5,Severe
17,2,M,86,13,6,Severe
