BAY,BAM,BTM ,Gender,Score,AY,AM,ATM,D,ALD
14,3,171,M,8,7,0,84,-87,Severe
15,1,181,M,14,14,0,168,-13,Severe
6,8,80,F,15,16,0,192,112,Well
6,5,77,M,6,6,6,78,1,Good
16,3,195,M,9,7,6,90,-105,Severe
10,0,120,M,10,8,6,102,-18,Severe
8,4,100,M,7,6,6,78,-22,Severe
8,5,101,F,6,6,6,78,-23,Severe
9,2,110,M,7,6,6,78,-32,Severe
8,0,96,M,7,6,6,78,-18,Severe
13,11,167,F,15,16,0,192,25,Well
13,1,157,F,13,12,6,150,-7,Severe
7,5,89,M,12,11,6,138,49,Well
12,10,154,F,12,11,6,138,-16,Severe
7,8,92,M,6,6,6,78,-14,Severe
9,2,110,F,7,6,6,78,-32,Severe
5,3,63,F,12,11,6,138,75,Well
9,0,108,F,12,11,6,138,30,Well
14,2,170,M,14,14,0,168,-2,Mild
14,5,173,M,11,10,0,120,-53,Severe
15,11,191,F,6,6,6,78,-113,Severe
12,0,144,M,9,7,6,90,-54,Severe
9,2,110,F,11,10,0,120,10,Well
7,3,87,F,11,10,0,120,33,Well
7,4,88,M,10,8,6,102,14,Well
10,10,130,F,13,12,6,150,20,Well
13,7,163,M,13,12,6,150,-13,Severe
17,0,204,M,12,11,6,138,-66,Severe
11,8,140,F,13,12,6,150,10,Well
8,3,99,F,7,6,6,78,-21,Severe
13,1,157,F,15,16,0,192,35,Well
17,10,214,F,8,7,0,84,-130,Severe
18,9,225,M,9,7,6,90,-135,Severe
18,11,227,F,15,16,0,192,-35,Severe
6,2,74,M,8,7,0,84,10,Well
13,0,156,M,13,12,6,150,-6,Severe
11,5,137,F,14,14,0,168,31,Well
14,9,177,F,13,12,6,150,-27,Severe
11,6,138,F,9,7,6,90,-48,Severe
18,1,217,F,6,6,6,78,-139,Severe
9,5,113,M,7,6,6,78,-35,Severe
12,2,146,F,8,7,0,84,-62,Severe
13,11,167,F,13,12,6,150,-17,Severe
11,2,134,F,6,6,6,78,-56,Severe
11,10,142,M,12,11,6,138,-4,Mild
5,9,69,F,15,16,0,192,123,Well
14,8,176,M,9,7,6,90,-86,Severe
10,8,128,F,6,6,6,78,-50,Severe
16,8,200,M,13,12,6,150,-50,Severe
13,11,167,F,14,14,0,168,1,Good
11,1,133,F,15,16,0,192,59,Well
18,5,221,F,7,6,6,78,-143,Severe
6,2,74,M,11,10,0,120,46,Well
9,11,119,M,7,6,6,78,-41,Severe
17,7,211,F,12,11,6,138,-73,Severe
9,2,110,F,6,6,6,78,-32,Severe
17,6,210,F,12,11,6,138,-72,Severe
9,8,116,F,7,6,6,78,-38,Severe
15,10,190,F,15,16,0,192,2,Good
7,7,91,M,15,16,0,192,101,Well
7,5,89,M,10,8,6,102,13,Well
13,3,159,M,8,7,0,84,-75,Severe
13,4,160,F,14,14,0,168,8,Well
6,4,76,M,12,11,6,138,62,Well
5,2,62,F,11,10,0,120,58,Well
14,8,176,M,8,7,0,84,-92,Severe
8,0,96,M,8,7,0,84,-12,Severe
5,10,70,M,13,12,6,150,80,Well
8,3,99,M,8,7,0,84,-15,Severe
11,3,135,F,12,11,6,138,3,Good
16,2,194,M,15,16,0,192,-2,Mild
18,1,217,M,11,10,0,120,-97,Severe
5,5,65,F,15,16,0,192,127,Well
18,4,220,F,7,6,6,78,-142,Severe
14,8,176,F,11,10,0,120,-56,Severe
10,7,127,F,8,7,0,84,-43,Severe
8,7,103,M,11,10,0,120,17,Well
8,6,102,F,11,10,0,120,18,Well
8,5,101,F,13,12,6,150,49,Well
5,6,66,M,10,8,6,102,36,Well
11,5,137,M,10,8,6,102,-35,Severe
9,7,115,M,6,6,6,78,-37,Severe
5,1,61,M,15,16,0,192,131,Well
9,11,119,F,10,8,6,102,-17,Severe
6,4,76,F,7,6,6,78,2,Good
8,4,100,M,14,14,0,168,68,Well
6,1,73,F,6,6,6,78,5,Good
9,4,112,F,9,7,6,90,-22,Severe
18,4,220,F,15,16,0,192,-28,Severe
15,0,180,F,12,11,6,138,-42,Severe
5,2,62,M,14,14,0,168,106,Well
15,5,185,F,10,8,6,102,-83,Severe
9,10,118,M,12,11,6,138,20,Well
17,4,208,M,11,10,0,120,-88,Severe
8,0,96,F,8,7,0,84,-12,Severe
18,1,217,F,15,16,0,192,-25,Severe
11,4,136,F,14,14,0,168,32,Well
8,2,98,M,15,16,0,192,94,Well
14,0,168,F,12,11,6,138,-30,Severe
11,4,136,F,15,16,0,192,56,Well
15,7,187,M,14,14,0,168,-19,Severe
15,7,187,M,8,7,0,84,-103,Severe
6,4,76,F,13,12,6,150,74,Well
5,9,69,F,13,12,6,150,81,Well
11,4,136,M,11,10,0,120,-16,Severe
7,7,91,F,13,12,6,150,59,Well
12,5,149,F,6,6,6,78,-71,Severe
8,6,102,M,9,7,6,90,-12,Severe
17,0,204,F,13,12,6,150,-54,Severe
9,0,108,M,8,7,0,84,-24,Severe
10,9,129,M,9,7,6,90,-39,Severe
15,8,188,F,9,7,6,90,-98,Severe
13,2,158,F,9,7,6,90,-68,Severe
12,5,149,F,8,7,0,84,-65,Severe
8,0,96,F,14,14,0,168,72,Well
16,3,195,F,9,7,6,90,-105,Severe
8,6,102,M,14,14,0,168,66,Well
6,7,79,F,6,6,6,78,-1,Mild
18,1,217,M,13,12,6,150,-67,Severe
17,9,213,M,14,14,0,168,-45,Severe
16,9,201,M,14,14,0,168,-33,Severe
9,11,119,M,11,10,0,120,1,Good
7,9,93,M,9,7,6,90,-3,Mild
8,11,107,F,10,8,6,102,-5,Mild
9,3,111,M,11,10,0,120,9,Well
16,3,195,F,12,11,6,138,-57,Severe
6,5,77,F,15,16,0,192,115,Well
18,9,225,F,9,7,6,90,-135,Severe
9,9,117,F,11,10,0,120,3,Good
10,0,120,F,9,7,6,90,-30,Severe
16,7,199,M,8,7,0,84,-115,Severe
15,10,190,F,9,7,6,90,-100,Severe
15,3,183,F,14,14,0,168,-15,Severe
6,11,83,F,8,7,0,84,1,Good
10,10,130,F,8,7,0,84,-46,Severe
18,4,220,F,11,10,0,120,-100,Severe
5,5,65,M,11,10,0,120,55,Well
7,5,89,F,15,16,0,192,103,Well
18,2,218,F,15,16,0,192,-26,Severe
12,10,154,M,9,7,6,90,-64,Severe
12,10,154,F,15,16,0,192,38,Well
5,11,71,F,15,16,0,192,121,Well
5,6,66,M,14,14,0,168,102,Well
8,11,107,M,9,7,6,90,-17,Severe
17,10,214,M,9,7,6,90,-124,Severe
16,3,195,F,11,10,0,120,-75,Severe
10,4,124,F,11,10,0,120,-4,Mild
14,3,171,F,8,7,0,84,-87,Severe
13,8,164,F,14,14,0,168,4,Good
16,2,194,F,6,6,6,78,-116,Severe
14,7,175,F,14,14,0,168,-7,Severe
14,3,171,M,14,14,0,168,-3,Mild
15,1,181,F,12,11,6,138,-43,Severe
5,4,64,F,8,7,0,84,20,Well
6,0,72,M,13,12,6,150,78,Well
9,10,118,F,15,16,0,192,74,Well
15,8,188,F,10,8,6,102,-86,Severe
13,5,161,F,7,6,6,78,-83,Severe
13,1,157,F,7,6,6,78,-79,Severe
6,1,73,M,7,6,6,78,5,Good
16,7,199,M,15,16,0,192,-7,Severe
10,8,128,M,8,7,0,84,-44,Severe
17,2,206,M,14,14,0,168,-38,Severe
12,10,154,M,8,7,0,84,-70,Severe
8,0,96,F,6,6,6,78,-18,Severe
9,0,108,M,12,11,6,138,30,Well
12,4,148,M,11,10,0,120,-28,Severe
14,7,175,M,10,8,6,102,-73,Severe
7,6,90,M,6,6,6,78,-12,Severe
13,5,161,M,9,7,6,90,-71,Severe
12,4,148,F,10,8,6,102,-46,Severe
14,0,168,F,7,6,6,78,-90,Severe
6,8,80,F,9,7,6,90,10,Well
15,1,181,M,13,12,6,150,-31,Severe
8,0,96,F,15,16,0,192,96,Well
16,4,196,F,8,7,0,84,-112,Severe
18,1,217,F,8,7,0,84,-133,Severe
18,6,222,M,15,16,0,192,-30,Severe
13,8,164,F,6,6,6,78,-86,Severe
18,7,223,M,6,6,6,78,-145,Severe
10,0,120,M,13,12,6,150,30,Well
15,0,180,M,9,7,6,90,-90,Severe
13,4,160,M,6,6,6,78,-82,Severe
17,8,212,F,9,7,6,90,-122,Severe
16,5,197,M,8,7,0,84,-113,Severe
5,11,71,M,12,11,6,138,67,Well
10,10,130,M,11,10,0,120,-10,Severe
7,10,94,M,11,10,0,120,26,Well
14,10,178,F,12,11,6,138,-40,Severe
7,2,86,M,12,11,6,138,52,Well
9,4,112,M,13,12,6,150,38,Well
11,0,132,F,11,10,0,120,-12,Severe
17,10,214,M,14,14,0,168,-46,Severe
5,8,68,F,6,6,6,78,10,Well
13,9,165,M,13,12,6,150,-15,Severe
10,9,129,F,14,14,0,168,39,Well
14,0,168,M,12,11,6,138,-30,Severe
17,7,211,F,10,8,6,102,-109,Severe
15,1,181,F,14,14,0,168,-13,Severe
15,9,189,M,12,11,6,138,-51,Severe
18,11,227,M,15,16,0,192,-35,Severe
6,8,80,M,10,8,6,102,22,Well
17,4,208,M,12,11,6,138,-70,Severe
11,9,141,M,7,6,6,78,-63,Severe
17,5,209,M,7,6,6,78,-131,Severe
14,5,173,F,12,11,6,138,-35,Severe
18,0,216,M,11,10,0,120,-96,Severe
9,0,108,M,9,7,6,90,-18,Severe
13,5,161,M,6,6,6,78,-83,Severe
7,2,86,M,9,7,6,90,4,Good
9,4,112,M,8,7,0,84,-28,Severe
10,6,126,M,12,11,6,138,12,Well
13,7,163,M,12,11,6,138,-25,Severe
5,9,69,M,15,16,0,192,123,Well
14,2,170,M,6,6,6,78,-92,Severe
17,10,214,F,10,8,6,102,-112,Severe
5,8,68,F,10,8,6,102,34,Well
5,6,66,F,14,14,0,168,102,Well
12,11,155,M,13,12,6,150,-5,Mild
18,9,225,F,14,14,0,168,-57,Severe
9,10,118,M,13,12,6,150,32,Well
8,11,107,M,8,7,0,84,-23,Severe
6,7,79,M,15,16,0,192,113,Well
7,6,90,M,15,16,0,192,102,Well
10,7,127,F,7,6,6,78,-49,Severe
17,7,211,M,14,14,0,168,-43,Severe
17,7,211,M,12,11,6,138,-73,Severe
6,8,80,M,8,7,0,84,4,Good
11,7,139,M,13,12,6,150,11,Well
5,8,68,F,8,7,0,84,16,Well
17,5,209,F,14,14,0,168,-41,Severe
12,6,150,F,15,16,0,192,42,Well
7,0,84,F,10,8,6,102,18,Well
17,1,205,M,7,6,6,78,-127,Severe
8,10,106,F,15,16,0,192,86,Well
5,7,67,F,10,8,6,102,35,Well
17,7,211,M,9,7,6,90,-121,Severe
16,4,196,M,13,12,6,150,-46,Severe
17,0,204,M,7,6,6,78,-126,Severe
12,2,146,M,15,16,0,192,46,Well
5,3,63,M,11,10,0,120,57,Well
15,7,187,F,10,8,6,102,-85,Severe
5,2,62,F,14,14,0,168,106,Well
7,9,93,F,10,8,6,102,9,Well
16,2,194,M,9,7,6,90,-104,Severe
8,7,103,M,10,8,6,102,-1,Mild
17,0,204,M,14,14,0,168,-36,Severe
16,7,199,F,14,14,0,168,-31,Severe
18,10,226,F,8,7,0,84,-142,Severe
9,7,115,M,10,8,6,102,-13,Severe
17,1,205,M,14,14,0,168,-37,Severe
10,11,131,F,8,7,0,84,-47,Severe
7,1,85,M,14,14,0,168,83,Well
14,10,178,F,11,10,0,120,-58,Severe
11,1,133,M,10,8,6,102,-31,Severe
8,5,101,F,9,7,6,90,-11,Severe
13,5,161,M,10,8,6,102,-59,Severe
17,4,208,M,7,6,6,78,-130,Severe
6,9,81,F,6,6,6,78,-3,Mild
10,5,125,F,14,14,0,168,43,Well
14,6,174,M,10,8,6,102,-72,Severe
16,5,197,M,11,10,0,120,-77,Severe
13,7,163,F,7,6,6,78,-85,Severe
17,10,214,F,15,16,0,192,-22,Severe
13,8,164,F,8,7,0,84,-80,Severe
11,10,142,M,15,16,0,192,50,Well
8,9,105,M,13,12,6,150,45,Well
14,3,171,M,13,12,6,150,-21,Severe
15,6,186,F,11,10,0,120,-66,Severe
11,9,141,F,10,8,6,102,-39,Severe
7,1,85,M,11,10,0,120,35,Well
7,0,84,F,14,14,0,168,84,Well
7,5,89,M,6,6,6,78,-11,Severe
10,2,122,M,7,6,6,78,-44,Severe
14,10,178,M,9,7,6,90,-88,Severe
11,1,133,F,10,8,6,102,-31,Severe
15,6,186,F,15,16,0,192,6,Well
6,3,75,M,13,12,6,150,75,Well
5,5,65,F,7,6,6,78,13,Well
11,7,139,F,8,7,0,84,-55,Severe
18,7,223,F,10,8,6,102,-121,Severe
12,3,147,F,9,7,6,90,-57,Severe
10,3,123,M,15,16,0,192,69,Well
13,7,163,M,6,6,6,78,-85,Severe
13,2,158,M,15,16,0,192,34,Well
16,9,201,M,10,8,6,102,-99,Severe
5,1,61,M,14,14,0,168,107,Well
18,4,220,M,8,7,0,84,-136,Severe
10,2,122,F,10,8,6,102,-20,Severe
8,4,100,F,7,6,6,78,-22,Severe
17,8,212,M,8,7,0,84,-128,Severe
8,8,104,M,15,16,0,192,88,Well
12,8,152,F,14,14,0,168,16,Well
17,6,210,F,15,16,0,192,-18,Severe
9,10,118,M,11,10,0,120,2,Good
14,10,178,F,9,7,6,90,-88,Severe
11,9,141,M,6,6,6,78,-63,Severe
15,2,182,M,13,12,6,150,-32,Severe
15,9,189,M,11,10,0,120,-69,Severe
11,9,141,F,9,7,6,90,-51,Severe
12,9,153,M,13,12,6,150,-3,Mild
6,1,73,F,8,7,0,84,11,Well
11,9,141,M,15,16,0,192,51,Well
18,7,223,M,7,6,6,78,-145,Severe
10,6,126,F,12,11,6,138,12,Well
6,7,79,F,8,7,0,84,5,Good
15,5,185,M,9,7,6,90,-95,Severe
5,5,65,F,8,7,0,84,19,Well
10,10,130,F,12,11,6,138,8,Well
13,2,158,F,7,6,6,78,-80,Severe
15,9,189,M,15,16,0,192,3,Good
6,5,77,F,7,6,6,78,1,Good
9,1,109,F,10,8,6,102,-7,Severe
12,7,151,M,11,10,0,120,-31,Severe
16,3,195,M,12,11,6,138,-57,Severe
7,6,90,F,8,7,0,84,-6,Severe
18,0,216,M,14,14,0,168,-48,Severe
6,6,78,M,11,10,0,120,42,Well
9,2,110,M,13,12,6,150,40,Well
11,11,143,M,7,6,6,78,-65,Severe
17,9,213,F,14,14,0,168,-45,Severe
16,3,195,F,13,12,6,150,-45,Severe
13,1,157,M,6,6,6,78,-79,Severe
18,2,218,M,6,6,6,78,-140,Severe
18,1,217,M,12,11,6,138,-79,Severe
12,2,146,F,6,6,6,78,-68,Severe
11,0,132,F,14,14,0,168,36,Well
8,11,107,M,12,11,6,138,31,Well
10,10,130,F,6,6,6,78,-52,Severe
17,4,208,F,10,8,6,102,-106,Severe
6,3,75,M,15,16,0,192,117,Well
11,10,142,M,13,12,6,150,8,Well
12,1,145,F,6,6,6,78,-67,Severe
8,11,107,F,13,12,6,150,43,Well
6,2,74,M,9,7,6,90,16,Well
18,8,224,M,6,6,6,78,-146,Severe
13,9,165,M,7,6,6,78,-87,Severe
18,0,216,M,13,12,6,150,-66,Severe
10,2,122,F,12,11,6,138,16,Well
8,2,98,F,12,11,6,138,40,Well
17,5,209,M,14,14,0,168,-41,Severe
14,8,176,F,10,8,6,102,-74,Severe
16,6,198,F,13,12,6,150,-48,Severe
10,9,129,M,8,7,0,84,-45,Severe
12,10,154,F,10,8,6,102,-52,Severe
15,1,181,M,15,16,0,192,11,Well
6,7,79,M,13,12,6,150,71,Well
17,3,207,F,13,12,6,150,-57,Severe
17,11,215,F,14,14,0,168,-47,Severe
16,9,201,F,11,10,0,120,-81,Severe
13,1,157,F,14,14,0,168,11,Well
11,1,133,F,9,7,6,90,-43,Severe
15,4,184,F,11,10,0,120,-64,Severe
12,3,147,M,14,14,0,168,21,Well
13,2,158,M,12,11,6,138,-20,Severe
16,8,200,M,7,6,6,78,-122,Severe
7,6,90,F,9,7,6,90,0,Neutral
15,8,188,F,12,11,6,138,-50,Severe
11,2,134,F,13,12,6,150,16,Well
13,7,163,M,14,14,0,168,5,Good
11,0,132,M,6,6,6,78,-54,Severe
11,3,135,M,12,11,6,138,3,Good
13,8,164,M,14,14,0,168,4,Good
7,8,92,F,6,6,6,78,-14,Severe
16,3,195,F,10,8,6,102,-93,Severe
13,9,165,F,15,16,0,192,27,Well
10,0,120,M,15,16,0,192,72,Well
6,9,81,F,13,12,6,150,69,Well
13,1,157,F,6,6,6,78,-79,Severe
14,7,175,M,13,12,6,150,-25,Severe
12,2,146,F,12,11,6,138,-8,Severe
15,9,189,M,14,14,0,168,-21,Severe
17,8,212,F,12,11,6,138,-74,Severe
5,1,61,M,12,11,6,138,77,Well
18,8,224,M,10,8,6,102,-122,Severe
6,10,82,F,6,6,6,78,-4,Mild
7,9,93,M,6,6,6,78,-15,Severe
10,1,121,F,7,6,6,78,-43,Severe
7,1,85,F,6,6,6,78,-7,Severe
15,4,184,F,14,14,0,168,-16,Severe
15,2,182,M,12,11,6,138,-44,Severe
6,5,77,M,15,16,0,192,115,Well
9,8,116,M,12,11,6,138,22,Well
7,0,84,F,15,16,0,192,108,Well
13,7,163,F,14,14,0,168,5,Good
12,4,148,M,6,6,6,78,-70,Severe
8,6,102,M,13,12,6,150,48,Well
14,5,173,F,9,7,6,90,-83,Severe
14,5,173,F,8,7,0,84,-89,Severe
5,6,66,F,12,11,6,138,72,Well
12,6,150,F,13,12,6,150,0,Neutral
5,4,64,M,12,11,6,138,74,Well
5,4,64,F,14,14,0,168,104,Well
14,11,179,M,12,11,6,138,-41,Severe
13,3,159,F,10,8,6,102,-57,Severe
16,1,193,F,8,7,0,84,-109,Severe
9,5,113,F,13,12,6,150,37,Well
10,8,128,M,10,8,6,102,-26,Severe
12,4,148,F,14,14,0,168,20,Well
11,9,141,M,13,12,6,150,9,Well
16,0,192,F,6,6,6,78,-114,Severe
13,4,160,F,11,10,0,120,-40,Severe
8,0,96,F,12,11,6,138,42,Well
13,6,162,M,6,6,6,78,-84,Severe
15,5,185,F,14,14,0,168,-17,Severe
16,10,202,M,6,6,6,78,-124,Severe
16,11,203,M,13,12,6,150,-53,Severe
5,10,70,F,8,7,0,84,14,Well
10,11,131,F,12,11,6,138,7,Well
5,11,71,M,8,7,0,84,13,Well
13,7,163,M,7,6,6,78,-85,Severe
5,0,60,M,10,8,6,102,42,Well
14,7,175,F,8,7,0,84,-91,Severe
5,6,66,M,12,11,6,138,72,Well
12,4,148,F,13,12,6,150,2,Good
16,2,194,M,6,6,6,78,-116,Severe
9,10,118,M,9,7,6,90,-28,Severe
7,11,95,M,15,16,0,192,97,Well
12,8,152,F,7,6,6,78,-74,Severe
7,9,93,F,13,12,6,150,57,Well
6,10,82,M,10,8,6,102,20,Well
15,6,186,F,8,7,0,84,-102,Severe
11,6,138,F,13,12,6,150,12,Well
5,5,65,F,13,12,6,150,85,Well
11,1,133,M,6,6,6,78,-55,Severe
13,11,167,M,8,7,0,84,-83,Severe
12,2,146,M,12,11,6,138,-8,Severe
5,3,63,F,11,10,0,120,57,Well
8,6,102,F,12,11,6,138,36,Well
14,5,173,M,15,16,0,192,19,Well
8,5,101,M,15,16,0,192,91,Well
17,6,210,M,9,7,6,90,-120,Severe
13,11,167,F,8,7,0,84,-83,Severe
17,0,204,F,12,11,6,138,-66,Severe
7,9,93,F,7,6,6,78,-15,Severe
7,9,93,M,13,12,6,150,57,Well
14,4,172,M,9,7,6,90,-82,Severe
16,10,202,F,6,6,6,78,-124,Severe
17,6,210,F,14,14,0,168,-42,Severe
15,10,190,M,10,8,6,102,-88,Severe
9,6,114,F,14,14,0,168,54,Well
9,3,111,M,7,6,6,78,-33,Severe
18,3,219,M,13,12,6,150,-69,Severe
12,9,153,F,7,6,6,78,-75,Severe
9,9,117,F,12,11,6,138,21,Well
6,6,78,M,9,7,6,90,12,Well
10,10,130,M,10,8,6,102,-28,Severe
12,0,144,F,15,16,0,192,48,Well
17,9,213,F,8,7,0,84,-129,Severe
9,11,119,M,10,8,6,102,-17,Severe
8,0,96,F,10,8,6,102,6,Well
16,4,196,M,10,8,6,102,-94,Severe
5,0,60,F,14,14,0,168,108,Well
15,11,191,F,11,10,0,120,-71,Severe
15,11,191,F,12,11,6,138,-53,Severe
7,11,95,F,12,11,6,138,43,Well
8,3,99,F,11,10,0,120,21,Well
18,10,226,F,13,12,6,150,-76,Severe
7,11,95,F,15,16,0,192,97,Well
10,2,122,M,10,8,6,102,-20,Severe
5,7,67,M,14,14,0,168,101,Well
18,9,225,M,13,12,6,150,-75,Severe
7,0,84,M,15,16,0,192,108,Well
5,11,71,M,7,6,6,78,7,Well
14,2,170,F,10,8,6,102,-68,Severe
9,1,109,M,15,16,0,192,83,Well
14,8,176,F,14,14,0,168,-8,Severe
16,3,195,M,11,10,0,120,-75,Severe
13,6,162,M,7,6,6,78,-84,Severe
11,9,141,F,7,6,6,78,-63,Severe
9,8,116,F,8,7,0,84,-32,Severe
5,2,62,F,9,7,6,90,28,Well
13,1,157,F,12,11,6,138,-19,Severe
15,9,189,F,12,11,6,138,-51,Severe
14,4,172,F,15,16,0,192,20,Well
12,0,144,F,10,8,6,102,-42,Severe
14,6,174,F,6,6,6,78,-96,Severe
13,4,160,M,7,6,6,78,-82,Severe
8,2,98,F,11,10,0,120,22,Well
12,1,145,M,13,12,6,150,5,Good
14,0,168,M,7,6,6,78,-90,Severe
13,11,167,M,12,11,6,138,-29,Severe
7,6,90,F,6,6,6,78,-12,Severe
8,11,107,F,6,6,6,78,-29,Severe
9,2,110,F,10,8,6,102,-8,Severe
8,11,107,M,13,12,6,150,43,Well
6,5,77,F,6,6,6,78,1,Good
17,0,204,F,10,8,6,102,-102,Severe
14,6,174,F,8,7,0,84,-90,Severe
14,4,172,F,8,7,0,84,-88,Severe
9,1,109,M,12,11,6,138,29,Well
6,6,78,F,12,11,6,138,60,Well
8,1,97,F,14,14,0,168,71,Well
18,5,221,F,11,10,0,120,-101,Severe
5,0,60,F,15,16,0,192,132,Well
10,8,128,M,12,11,6,138,10,Well
5,8,68,M,7,6,6,78,10,Well
15,1,181,M,6,6,6,78,-103,Severe
14,1,169,F,11,10,0,120,-49,Severe
9,1,109,M,11,10,0,120,11,Well
17,1,205,F,10,8,6,102,-103,Severe
6,5,77,F,8,7,0,84,7,Well
11,0,132,M,12,11,6,138,6,Well
7,3,87,F,15,16,0,192,105,Well
17,10,214,M,10,8,6,102,-112,Severe
7,7,91,M,10,8,6,102,11,Well
13,8,164,M,12,11,6,138,-26,Severe
8,2,98,F,13,12,6,150,52,Well
18,2,218,M,7,6,6,78,-140,Severe
14,2,170,M,10,8,6,102,-68,Severe
6,7,79,M,14,14,0,168,89,Well
8,1,97,M,12,11,6,138,41,Well
16,0,192,F,9,7,6,90,-102,Severe
9,10,118,F,9,7,6,90,-28,Severe
16,11,203,M,15,16,0,192,-11,Severe
9,0,108,F,15,16,0,192,84,Well
12,5,149,M,7,6,6,78,-71,Severe
6,10,82,M,6,6,6,78,-4,Mild
16,5,197,M,9,7,6,90,-107,Severe
5,11,71,F,11,10,0,120,49,Well
11,8,140,M,7,6,6,78,-62,Severe
14,4,172,M,8,7,0,84,-88,Severe
8,0,96,F,9,7,6,90,-6,Severe
18,11,227,F,6,6,6,78,-149,Severe
11,8,140,M,9,7,6,90,-50,Severe
18,6,222,M,13,12,6,150,-72,Severe
13,9,165,F,14,14,0,168,3,Good
7,0,84,M,13,12,6,150,66,Well
14,10,178,F,7,6,6,78,-100,Severe
14,3,171,M,12,11,6,138,-33,Severe
15,2,182,M,15,16,0,192,10,Well
9,5,113,F,11,10,0,120,7,Well
8,1,97,M,14,14,0,168,71,Well
15,0,180,M,6,6,6,78,-102,Severe
14,8,176,M,13,12,6,150,-26,Severe
13,9,165,M,6,6,6,78,-87,Severe
13,6,162,F,14,14,0,168,6,Well
15,10,190,M,15,16,0,192,2,Good
12,7,151,F,15,16,0,192,41,Well
17,4,208,M,15,16,0,192,-16,Severe
10,7,127,F,9,7,6,90,-37,Severe
12,4,148,F,15,16,0,192,44,Well
5,4,64,M,8,7,0,84,20,Well
6,1,73,M,11,10,0,120,47,Well
16,3,195,M,7,6,6,78,-117,Severe
14,11,179,M,7,6,6,78,-101,Severe
13,2,158,F,6,6,6,78,-80,Severe
8,7,103,F,13,12,6,150,47,Well
5,11,71,M,15,16,0,192,121,Well
15,7,187,F,7,6,6,78,-109,Severe
5,4,64,F,7,6,6,78,14,Well
14,10,178,F,8,7,0,84,-94,Severe
10,10,130,F,7,6,6,78,-52,Severe
12,7,151,M,6,6,6,78,-73,Severe
10,1,121,M,10,8,6,102,-19,Severe
10,3,123,M,10,8,6,102,-21,Severe
5,2,62,F,7,6,6,78,16,Well
8,3,99,M,13,12,6,150,51,Well
15,0,180,F,9,7,6,90,-90,Severe
7,7,91,M,12,11,6,138,47,Well
11,6,138,F,7,6,6,78,-60,Severe
12,9,153,F,12,11,6,138,-15,Severe
13,8,164,M,11,10,0,120,-44,Severe
10,8,128,M,11,10,0,120,-8,Severe
13,0,156,F,12,11,6,138,-18,Severe
16,9,201,M,6,6,6,78,-123,Severe
18,0,216,F,11,10,0,120,-96,Severe
13,9,165,F,13,12,6,150,-15,Severe
6,2,74,F,7,6,6,78,4,Good
11,5,137,F,13,12,6,150,13,Well
7,7,91,M,13,12,6,150,59,Well
18,3,219,M,11,10,0,120,-99,Severe
12,8,152,F,12,11,6,138,-14,Severe
7,8,92,F,10,8,6,102,10,Well
16,0,192,M,13,12,6,150,-42,Severe
12,4,148,F,9,7,6,90,-58,Severe
13,8,164,M,13,12,6,150,-14,Severe
8,5,101,M,9,7,6,90,-11,Severe
6,2,74,M,7,6,6,78,4,Good
18,8,224,M,9,7,6,90,-134,Severe
12,7,151,M,15,16,0,192,41,Well
18,9,225,F,8,7,0,84,-141,Severe
18,9,225,M,15,16,0,192,-33,Severe
9,10,118,F,10,8,6,102,-16,Severe
16,7,199,F,13,12,6,150,-49,Severe
18,8,224,F,9,7,6,90,-134,Severe
11,7,139,M,12,11,6,138,-1,Mild
10,2,122,M,8,7,0,84,-38,Severe
17,11,215,M,8,7,0,84,-131,Severe
17,6,210,M,8,7,0,84,-126,Severe
16,1,193,F,9,7,6,90,-103,Severe
16,11,203,F,11,10,0,120,-83,Severe
17,2,206,M,10,8,6,102,-104,Severe
7,9,93,M,15,16,0,192,99,Well
9,7,115,F,13,12,6,150,35,Well
11,0,132,M,10,8,6,102,-30,Severe
7,8,92,M,14,14,0,168,76,Well
11,7,139,F,15,16,0,192,53,Well
13,11,167,M,10,8,6,102,-65,Severe
10,5,125,M,7,6,6,78,-47,Severe
6,8,80,M,13,12,6,150,70,Well
6,10,82,F,9,7,6,90,8,Well
18,6,222,F,13,12,6,150,-72,Severe
8,11,107,M,6,6,6,78,-29,Severe
13,3,159,M,6,6,6,78,-81,Severe
7,6,90,M,13,12,6,150,60,Well
9,3,111,M,6,6,6,78,-33,Severe
15,3,183,F,10,8,6,102,-81,Severe
16,7,199,F,8,7,0,84,-115,Severe
16,8,200,M,14,14,0,168,-32,Severe
10,11,131,F,14,14,0,168,37,Well
7,8,92,F,8,7,0,84,-8,Severe
12,10,154,M,15,16,0,192,38,Well
16,6,198,M,7,6,6,78,-120,Severe
15,3,183,M,9,7,6,90,-93,Severe
14,4,172,M,7,6,6,78,-94,Severe
9,0,108,M,10,8,6,102,-6,Severe
8,7,103,F,7,6,6,78,-25,Severe
9,2,110,F,12,11,6,138,28,Well
13,0,156,F,6,6,6,78,-78,Severe
15,9,189,F,7,6,6,78,-111,Severe
13,2,158,M,8,7,0,84,-74,Severe
11,6,138,F,8,7,0,84,-54,Severe
18,3,219,F,11,10,0,120,-99,Severe
5,1,61,F,13,12,6,150,89,Well
16,6,198,M,11,10,0,120,-78,Severe
17,9,213,M,10,8,6,102,-111,Severe
