BAY,BAM,BTM,Gender,Score,RAY,RAM,RTM,D,RLD
17,2,206,F,89,12,1,145,-61,Severe
13,4,160,F,18,6,1,73,-87,Severe
18,3,219,M,86,11,10,142,-77,Severe
15,3,183,M,28,6,8,80,-103,Severe
11,3,135,F,68,10,0,120,-15,Severe
14,11,179,F,81,11,4,136,-43,Severe
10,0,120,M,97,12,11,155,35,Well
17,7,211,F,99,13,1,157,-54,Severe
6,11,83,M,54,8,7,103,20,Well
10,3,123,F,30,6,9,81,-42,Severe
12,3,147,F,57,8,10,106,-41,Severe
14,3,171,M,68,10,0,120,-51,Severe
12,3,147,F,29,6,8,80,-67,Severe
16,9,201,M,78,11,0,132,-69,Severe
16,3,195,F,100,13,3,159,-36,Severe
5,9,69,M,51,8,4,100,31,Well
10,10,130,M,17,6,0,72,-58,Severe
6,9,81,F,49,8,2,98,17,Well
9,8,116,M,80,11,3,135,19,Well
5,8,68,M,100,13,3,159,91,Well
16,7,199,F,6,5,5,65,-134,Severe
8,3,99,M,15,5,11,71,-28,Severe
13,0,156,F,34,7,0,84,-72,Severe
8,9,105,M,70,10,2,122,17,Well
18,5,221,M,56,8,9,105,-116,Severe
17,5,209,M,52,8,5,101,-108,Severe
8,4,100,F,84,11,7,139,39,Well
16,8,200,F,15,5,11,71,-129,Severe
15,0,180,M,10,5,7,67,-113,Severe
17,10,214,F,84,11,7,139,-75,Severe
18,0,216,F,19,6,1,73,-143,Severe
7,5,89,M,3,5,3,63,-26,Severe
10,7,127,F,65,9,8,116,-11,Severe
11,6,138,F,50,8,3,99,-39,Severe
13,4,160,M,19,6,1,73,-87,Severe
13,9,165,F,66,9,9,117,-48,Severe
15,8,188,F,33,6,11,83,-105,Severe
9,7,115,M,76,10,10,130,15,Well
18,8,224,M,68,10,0,120,-104,Severe
6,2,74,F,14,5,10,70,-4,Mild
8,10,106,F,85,11,9,141,35,Well
17,6,210,M,71,10,3,123,-87,Severe
8,9,105,M,55,8,8,104,-1,Mild
13,0,156,F,98,13,0,156,0,Neutral
14,3,171,F,92,12,5,149,-22,Severe
10,5,125,F,71,10,3,123,-2,Mild
5,11,71,F,58,9,0,108,37,Well
5,5,65,M,108,14,0,168,103,Well
18,10,226,M,35,7,1,85,-141,Severe
13,4,160,F,40,7,5,89,-71,Severe
8,11,107,F,55,8,8,104,-3,Mild
11,10,142,F,74,10,7,127,-15,Severe
16,11,203,M,61,9,3,111,-92,Severe
11,4,136,M,23,6,4,76,-60,Severe
6,10,82,F,86,11,10,142,60,Well
10,1,121,F,77,10,11,131,10,Well
16,10,202,F,61,9,3,111,-91,Severe
14,7,175,F,50,8,3,99,-76,Severe
11,3,135,F,72,10,4,124,-11,Severe
15,11,191,F,47,8,0,96,-95,Severe
9,2,110,M,23,6,4,76,-34,Severe
11,4,136,M,65,9,8,116,-20,Severe
7,9,93,M,12,5,9,69,-24,Severe
15,1,181,M,87,11,11,143,-38,Severe
13,10,166,F,59,9,1,109,-57,Severe
7,9,93,F,33,6,11,83,-10,Severe
12,8,152,F,90,12,3,147,-5,Mild
13,3,159,F,22,6,3,75,-84,Severe
10,7,127,F,15,5,11,71,-56,Severe
13,0,156,M,4,5,4,64,-92,Severe
11,7,139,M,88,12,0,144,5,Good
6,3,75,F,48,8,1,97,22,Well
14,5,173,F,24,6,5,77,-96,Severe
6,6,78,M,74,10,7,127,49,Well
14,6,174,F,23,6,4,76,-98,Severe
8,2,98,M,9,5,7,67,-31,Severe
5,3,63,F,47,8,0,96,33,Well
6,11,83,F,65,9,8,116,33,Well
7,8,92,M,82,11,5,137,45,Well
7,10,94,F,78,11,0,132,38,Well
13,6,162,F,31,6,9,81,-81,Severe
7,6,90,F,75,10,9,129,39,Well
8,2,98,M,72,10,4,124,26,Well
11,4,136,M,86,11,10,142,6,Well
14,5,173,M,80,11,3,135,-38,Severe
7,7,91,M,17,6,0,72,-19,Severe
11,4,136,M,79,11,1,133,-3,Mild
17,0,204,F,68,10,0,120,-84,Severe
11,6,138,M,99,13,1,157,19,Well
10,11,131,M,64,9,7,115,-16,Severe
18,10,226,F,101,13,4,160,-66,Severe
9,1,109,F,15,5,11,71,-38,Severe
12,5,149,M,92,12,5,149,0,Neutral
11,6,138,M,72,10,4,124,-14,Severe
11,6,138,F,34,7,0,84,-54,Severe
16,2,194,M,66,9,9,117,-77,Severe
11,3,135,M,72,10,4,124,-11,Severe
15,11,191,F,100,13,3,159,-32,Severe
18,3,219,M,38,7,4,88,-131,Severe
5,6,66,M,102,13,6,162,96,Well
15,6,186,M,47,8,0,96,-90,Severe
10,11,131,F,15,5,11,71,-60,Severe
13,7,163,F,69,10,1,121,-42,Severe
14,0,168,F,38,7,4,88,-80,Severe
13,9,165,M,98,13,0,156,-9,Severe
14,11,179,M,86,11,10,142,-37,Severe
8,3,99,F,18,6,1,73,-26,Severe
7,10,94,M,64,9,7,115,21,Well
17,6,210,M,88,12,0,144,-66,Severe
6,1,73,F,24,6,5,77,4,Good
12,3,147,M,46,7,11,95,-52,Severe
13,3,159,M,30,6,9,81,-78,Severe
15,10,190,F,96,12,10,154,-36,Severe
11,2,134,F,69,10,1,121,-13,Severe
8,5,101,M,29,6,8,80,-21,Severe
13,11,167,F,48,8,1,97,-70,Severe
13,3,159,F,4,5,4,64,-95,Severe
5,6,66,M,42,7,7,91,25,Well
12,3,147,M,89,12,1,145,-2,Mild
11,8,140,M,50,8,3,99,-41,Severe
10,11,131,F,2,5,3,63,-68,Severe
10,11,131,M,22,6,3,75,-56,Severe
18,4,220,F,69,10,1,121,-99,Severe
14,8,176,M,21,6,2,74,-102,Severe
8,9,105,M,38,7,4,88,-17,Severe
16,6,198,F,43,7,8,92,-106,Severe
10,2,122,F,39,7,5,89,-33,Severe
13,2,158,F,99,13,1,157,-1,Mild
13,7,163,F,53,8,6,102,-61,Severe
9,5,113,M,57,8,10,106,-7,Severe
13,0,156,M,13,5,9,69,-87,Severe
10,10,130,F,48,8,1,97,-33,Severe
14,5,173,M,82,11,5,137,-36,Severe
7,6,90,F,96,12,10,154,64,Well
6,7,79,M,61,9,3,111,32,Well
7,3,87,M,3,5,3,63,-24,Severe
11,10,142,F,102,13,6,162,20,Well
12,2,146,F,20,6,2,74,-72,Severe
15,4,184,F,23,6,4,76,-108,Severe
17,3,207,F,34,7,0,84,-123,Severe
6,6,78,F,87,11,11,143,65,Well
7,8,92,F,58,9,0,108,16,Well
18,1,217,F,73,10,6,126,-91,Severe
10,9,129,F,69,10,1,121,-8,Severe
12,2,146,F,49,8,2,98,-48,Severe
6,3,75,F,109,14,1,169,94,Well
18,4,220,M,95,12,9,153,-67,Severe
13,6,162,F,65,9,8,116,-46,Severe
11,7,139,F,32,6,10,82,-57,Severe
15,3,183,M,81,11,4,136,-47,Severe
14,9,177,M,91,12,4,148,-29,Severe
16,2,194,M,17,6,0,72,-122,Severe
5,3,63,M,106,13,10,166,103,Well
11,0,132,F,27,6,7,79,-53,Severe
11,0,132,M,91,12,4,148,16,Well
14,0,168,M,97,12,11,155,-13,Severe
6,4,76,M,77,10,11,131,55,Well
18,2,218,M,47,8,0,96,-122,Severe
9,1,109,M,9,5,7,67,-42,Severe
5,3,63,M,62,9,4,112,49,Well
7,3,87,M,59,9,1,109,22,Well
10,9,129,M,71,10,3,123,-6,Severe
15,9,189,M,90,12,3,147,-42,Severe
13,9,165,M,27,6,7,79,-86,Severe
5,1,61,F,53,8,6,102,41,Well
8,6,102,F,57,8,10,106,4,Good
9,3,111,M,4,5,4,64,-47,Severe
14,5,173,M,63,9,6,114,-59,Severe
12,8,152,F,81,11,4,136,-16,Severe
11,6,138,M,87,11,11,143,5,Good
8,10,106,M,31,6,9,81,-25,Severe
12,5,149,F,49,8,2,98,-51,Severe
12,3,147,M,91,12,4,148,1,Good
12,1,145,M,80,11,3,135,-10,Severe
15,10,190,M,43,7,8,92,-98,Severe
15,3,183,M,67,9,10,118,-65,Severe
13,3,159,F,89,12,1,145,-14,Severe
15,0,180,F,46,7,11,95,-85,Severe
5,3,63,M,59,9,1,109,46,Well
12,4,148,F,2,5,3,63,-85,Severe
6,4,76,F,8,5,6,66,-10,Severe
7,10,94,M,61,9,3,111,17,Well
10,3,123,M,5,5,5,65,-58,Severe
5,2,62,F,75,10,9,129,67,Well
7,5,89,M,78,11,0,132,43,Well
10,1,121,M,51,8,4,100,-21,Severe
9,3,111,M,108,14,0,168,57,Well
13,1,157,F,21,6,2,74,-83,Severe
8,3,99,F,43,7,8,92,-7,Severe
9,4,112,M,88,12,0,144,32,Well
9,9,117,M,76,10,10,130,13,Well
18,7,223,M,37,7,3,87,-136,Severe
11,8,140,F,76,10,10,130,-10,Severe
14,10,178,F,24,6,5,77,-101,Severe
10,5,125,F,14,5,10,70,-55,Severe
15,5,185,M,78,11,0,132,-53,Severe
18,6,222,F,63,9,6,114,-108,Severe
13,6,162,M,93,12,6,150,-12,Severe
17,3,207,M,41,7,6,90,-117,Severe
17,3,207,M,38,7,4,88,-119,Severe
13,4,160,M,9,5,7,67,-93,Severe
18,2,218,F,36,7,2,86,-132,Severe
16,10,202,M,86,11,10,142,-60,Severe
9,3,111,M,59,9,1,109,-2,Mild
5,1,61,M,94,12,7,151,90,Well
10,10,130,F,27,6,7,79,-51,Severe
10,7,127,M,2,5,3,63,-64,Severe
11,0,132,F,40,7,5,89,-43,Severe
15,5,185,F,52,8,5,101,-84,Severe
7,5,89,F,48,8,1,97,8,Well
5,2,62,F,103,13,6,162,100,Well
16,2,194,M,52,8,5,101,-93,Severe
11,11,143,F,85,11,9,141,-2,Mild
10,4,124,M,90,12,3,147,23,Well
6,11,83,M,4,5,4,64,-19,Severe
6,10,82,M,72,10,4,124,42,Well
9,10,118,M,106,13,10,166,48,Well
18,0,216,F,100,13,3,159,-57,Severe
16,10,202,M,21,6,2,74,-128,Severe
9,5,113,M,89,12,1,145,32,Well
10,1,121,M,35,7,1,85,-36,Severe
5,10,70,F,49,8,2,98,28,Well
8,8,104,M,47,8,0,96,-8,Severe
6,5,77,M,41,7,6,90,13,Well
10,4,124,F,47,8,0,96,-28,Severe
16,2,194,F,41,7,6,90,-104,Severe
13,5,161,M,26,6,6,78,-83,Severe
17,6,210,M,29,6,8,80,-130,Severe
15,0,180,M,87,11,11,143,-37,Severe
15,3,183,F,55,8,8,104,-79,Severe
11,0,132,F,34,7,0,84,-48,Severe
9,1,109,M,28,6,8,80,-29,Severe
5,10,70,M,21,6,2,74,4,Good
9,7,115,F,66,9,9,117,2,Good
16,3,195,F,78,11,0,132,-63,Severe
16,2,194,F,3,5,3,63,-131,Severe
13,7,163,M,97,12,11,155,-8,Severe
10,11,131,F,106,13,10,166,35,Well
9,11,119,F,27,6,7,79,-40,Severe
5,0,60,F,77,10,11,131,71,Well
8,8,104,M,90,12,3,147,43,Well
8,1,97,F,45,7,10,94,-3,Mild
13,6,162,F,93,12,6,150,-12,Severe
6,5,77,F,6,5,5,65,-12,Severe
10,4,124,M,56,8,9,105,-19,Severe
8,4,100,F,85,11,9,141,41,Well
9,1,109,F,3,5,3,63,-46,Severe
16,5,197,F,2,5,3,63,-134,Severe
9,6,114,F,92,12,5,149,35,Well
18,0,216,M,101,13,4,160,-56,Severe
17,3,207,M,57,8,10,106,-101,Severe
9,11,119,M,47,8,0,96,-23,Severe
14,7,175,M,15,5,11,71,-104,Severe
5,0,60,M,57,8,10,106,46,Well
18,5,221,M,58,9,0,108,-113,Severe
11,3,135,F,103,13,6,162,27,Well
16,4,196,F,45,7,10,94,-102,Severe
9,1,109,F,76,10,10,130,21,Well
17,11,215,M,70,10,2,122,-93,Severe
11,9,141,F,35,7,1,85,-56,Severe
8,1,97,M,78,11,0,132,35,Well
8,10,106,M,30,6,9,81,-25,Severe
16,10,202,M,45,7,10,94,-108,Severe
10,5,125,M,69,10,1,121,-4,Mild
15,0,180,M,50,8,3,99,-81,Severe
18,11,227,M,105,13,9,165,-62,Severe
10,4,124,M,51,8,4,100,-24,Severe
12,2,146,M,66,9,9,117,-29,Severe
5,2,62,F,42,7,7,91,29,Well
11,3,135,M,42,7,7,91,-44,Severe
14,6,174,F,100,13,3,159,-15,Severe
10,9,129,M,3,5,3,63,-66,Severe
8,10,106,F,90,12,3,147,41,Well
14,6,174,F,16,5,11,71,-103,Severe
7,11,95,M,43,7,8,92,-3,Mild
6,4,76,F,72,10,4,124,48,Well
11,8,140,F,50,8,3,99,-41,Severe
12,5,149,M,37,7,3,87,-62,Severe
18,2,218,F,83,11,6,138,-80,Severe
11,9,141,M,34,7,0,84,-57,Severe
11,3,135,M,97,12,11,155,20,Well
9,11,119,M,49,8,2,98,-21,Severe
11,0,132,M,74,10,7,127,-5,Mild
15,9,189,M,108,14,0,168,-21,Severe
10,5,125,M,14,5,10,70,-55,Severe
10,11,131,F,70,10,2,122,-9,Severe
16,8,200,M,93,12,6,150,-50,Severe
10,4,124,F,67,9,10,118,-6,Severe
6,7,79,F,82,11,5,137,58,Well
5,10,70,F,88,12,0,144,74,Well
9,5,113,F,42,7,7,91,-22,Severe
10,1,121,M,16,5,11,71,-50,Severe
14,3,171,F,8,5,6,66,-105,Severe
15,3,183,M,72,10,4,124,-59,Severe
10,0,120,F,9,5,7,67,-53,Severe
10,7,127,M,30,6,9,81,-46,Severe
15,2,182,M,103,13,6,162,-20,Severe
13,1,157,F,13,5,9,69,-88,Severe
14,6,174,F,102,13,6,162,-12,Severe
6,3,75,F,35,7,1,85,10,Well
18,11,227,M,44,7,9,93,-134,Severe
7,9,93,F,46,7,11,95,2,Good
6,7,79,F,92,12,5,149,70,Well
9,3,111,F,91,12,4,148,37,Well
5,3,63,M,78,11,0,132,69,Well
10,3,123,M,53,8,6,102,-21,Severe
5,11,71,M,27,6,7,79,8,Well
6,11,83,F,20,6,2,74,-9,Severe
13,11,167,M,99,13,1,157,-10,Severe
16,9,201,M,15,5,11,71,-130,Severe
13,2,158,F,87,11,11,143,-15,Severe
10,0,120,M,58,9,0,108,-12,Severe
11,5,137,M,23,6,4,76,-61,Severe
14,6,174,F,49,8,2,98,-76,Severe
17,1,205,M,106,13,10,166,-39,Severe
9,0,108,F,14,5,10,70,-38,Severe
18,3,219,M,100,13,3,159,-60,Severe
5,0,60,F,44,7,9,93,33,Well
15,9,189,M,46,7,11,95,-94,Severe
17,6,210,F,66,9,9,117,-93,Severe
15,7,187,M,20,6,2,74,-113,Severe
6,9,81,M,39,7,5,89,8,Well
15,1,181,M,58,9,0,108,-73,Severe
15,1,181,M,29,6,8,80,-101,Severe
9,8,116,M,17,6,0,72,-44,Severe
8,9,105,M,56,8,9,105,0,Neutral
6,0,72,F,109,14,1,169,97,Well
8,3,99,F,7,5,6,66,-33,Severe
17,10,214,M,82,11,5,137,-77,Severe
9,8,116,M,20,6,2,74,-42,Severe
13,11,167,F,83,11,6,138,-29,Severe
5,8,68,M,80,11,3,135,67,Well
5,0,60,M,83,11,6,138,78,Well
10,3,123,F,79,11,1,133,10,Well
10,11,131,F,27,6,7,79,-52,Severe
15,7,187,F,67,9,10,118,-69,Severe
10,3,123,M,12,5,9,69,-54,Severe
14,8,176,F,103,13,6,162,-14,Severe
6,4,76,M,70,10,2,122,46,Well
11,6,138,M,94,12,7,151,13,Well
16,10,202,F,27,6,7,79,-123,Severe
17,3,207,F,76,10,10,130,-77,Severe
17,3,207,F,108,14,0,168,-39,Severe
6,4,76,M,105,13,9,165,89,Well
13,0,156,F,10,5,7,67,-89,Severe
8,9,105,M,13,5,9,69,-36,Severe
8,6,102,M,64,9,7,115,13,Well
11,9,141,F,96,12,10,154,13,Well
10,0,120,F,49,8,2,98,-22,Severe
5,5,65,M,65,9,8,116,51,Well
5,0,60,F,109,14,1,169,109,Well
16,8,200,M,59,9,1,109,-91,Severe
11,0,132,M,10,5,7,67,-65,Severe
14,1,169,F,105,13,9,165,-4,Mild
8,3,99,M,35,7,1,85,-14,Severe
14,5,173,M,88,12,0,144,-29,Severe
7,3,87,M,48,8,1,97,10,Well
15,10,190,M,91,12,4,148,-42,Severe
10,3,123,F,90,12,3,147,24,Well
6,0,72,M,71,10,3,123,51,Well
6,7,79,F,37,7,3,87,8,Well
16,4,196,F,44,7,9,93,-103,Severe
5,2,62,F,8,5,6,66,4,Good
7,3,87,M,40,7,5,89,2,Good
14,0,168,M,91,12,4,148,-20,Severe
14,5,173,F,105,13,9,165,-8,Severe
12,7,151,M,89,12,1,145,-6,Severe
11,2,134,F,25,6,5,77,-57,Severe
8,0,96,F,96,12,10,154,58,Well
8,4,100,F,78,11,0,132,32,Well
17,11,215,F,26,6,6,78,-137,Severe
5,8,68,M,55,8,8,104,36,Well
9,9,117,M,110,14,3,171,54,Well
5,5,65,F,53,8,6,102,37,Well
18,8,224,F,18,6,1,73,-151,Severe
16,3,195,F,39,7,5,89,-106,Severe
15,0,180,M,37,7,3,87,-93,Severe
11,9,141,F,65,9,8,116,-25,Severe
6,3,75,M,27,6,7,79,4,Good
10,6,126,M,53,8,6,102,-24,Severe
14,1,169,M,6,5,5,65,-104,Severe
15,7,187,F,95,12,9,153,-34,Severe
6,10,82,M,74,10,7,127,45,Well
18,2,218,F,86,11,10,142,-76,Severe
18,11,227,F,88,12,0,144,-83,Severe
18,6,222,F,13,5,9,69,-153,Severe
16,3,195,M,8,5,6,66,-129,Severe
12,0,144,M,8,5,6,66,-78,Severe
6,10,82,F,49,8,2,98,16,Well
8,4,100,F,70,10,2,122,22,Well
15,7,187,F,103,13,6,162,-25,Severe
14,0,168,F,69,10,1,121,-47,Severe
14,6,174,F,85,11,9,141,-33,Severe
14,5,173,F,60,9,2,110,-63,Severe
5,11,71,F,39,7,5,89,18,Well
5,11,71,F,17,6,0,72,1,Good
16,3,195,F,15,5,11,71,-124,Severe
17,1,205,F,93,12,6,150,-55,Severe
10,3,123,M,44,7,9,93,-30,Severe
9,4,112,M,35,7,1,85,-27,Severe
12,0,144,M,71,10,3,123,-21,Severe
15,9,189,F,104,13,7,163,-26,Severe
6,9,81,M,32,6,10,82,1,Good
5,2,62,F,108,14,0,168,106,Well
16,3,195,M,5,5,5,65,-130,Severe
13,2,158,F,105,13,9,165,7,Well
5,4,64,F,85,11,9,141,77,Well
16,9,201,M,89,12,1,145,-56,Severe
8,5,101,F,67,9,10,118,17,Well
5,4,64,F,104,13,7,163,99,Well
5,4,64,M,13,5,9,69,5,Good
9,3,111,M,47,8,0,96,-15,Severe
12,7,151,M,103,13,6,162,11,Well
6,6,78,F,49,8,2,98,20,Well
11,10,142,M,49,8,2,98,-44,Severe
14,0,168,F,35,7,1,85,-83,Severe
7,10,94,F,57,8,10,106,12,Well
10,10,130,M,57,8,10,106,-24,Severe
17,8,212,M,94,12,7,151,-61,Severe
12,3,147,M,29,6,8,80,-67,Severe
9,9,117,M,99,13,1,157,40,Well
15,9,189,M,99,13,1,157,-32,Severe
18,9,225,M,47,8,0,96,-129,Severe
6,8,80,M,43,7,8,92,12,Well
5,6,66,F,66,9,9,117,51,Well
18,1,217,M,94,12,7,151,-66,Severe
12,2,146,M,26,6,6,78,-68,Severe
5,5,65,M,17,6,0,72,7,Well
15,10,190,F,68,10,0,120,-70,Severe
17,10,214,F,104,13,7,163,-51,Severe
5,11,71,M,11,5,8,68,-3,Mild
11,11,143,F,62,9,4,112,-31,Severe
9,1,109,F,57,8,10,106,-3,Mild
12,7,151,M,43,7,8,92,-59,Severe
5,5,65,M,39,7,5,89,24,Well
7,0,84,M,107,13,11,167,83,Well
14,2,170,F,59,9,1,109,-61,Severe
5,8,68,F,71,10,3,123,55,Well
16,2,194,M,64,9,7,115,-79,Severe
6,9,81,F,60,9,2,110,29,Well
16,10,202,F,3,5,3,63,-139,Severe
13,6,162,F,53,8,6,102,-60,Severe
5,4,64,M,74,10,7,127,63,Well
18,8,224,F,27,6,7,79,-145,Severe
11,3,135,M,65,9,8,116,-19,Severe
7,5,89,F,97,12,11,155,66,Well
18,0,216,M,29,6,8,80,-136,Severe
10,3,123,M,107,13,11,167,44,Well
13,2,158,F,98,13,0,156,-2,Mild
16,6,198,F,72,10,4,124,-74,Severe
12,4,148,M,11,5,8,68,-80,Severe
8,10,106,F,55,8,8,104,-2,Mild
10,5,125,F,40,7,5,89,-36,Severe
12,5,149,M,79,11,1,133,-16,Severe
6,11,83,F,39,7,5,89,6,Well
15,0,180,M,29,6,8,80,-100,Severe
6,6,78,F,77,10,11,131,53,Well
6,2,74,F,25,6,5,77,3,Good
15,4,184,M,8,5,6,66,-118,Severe
18,1,217,M,45,7,10,94,-123,Severe
12,7,151,F,4,5,4,64,-87,Severe
9,0,108,F,56,8,9,105,-3,Mild
18,3,219,F,49,8,2,98,-121,Severe
9,7,115,M,95,12,9,153,38,Well
18,4,220,M,58,9,0,108,-112,Severe
17,8,212,F,77,10,11,131,-81,Severe
6,11,83,M,101,13,4,160,77,Well
7,1,85,M,87,11,11,143,58,Well
5,3,63,M,81,11,4,136,73,Well
18,3,219,F,107,13,11,167,-52,Severe
18,2,218,M,10,5,7,67,-151,Severe
10,10,130,F,7,5,6,66,-64,Severe
13,0,156,F,19,6,1,73,-83,Severe
6,9,81,F,30,6,9,81,0,Neutral
15,10,190,M,69,10,1,121,-69,Severe
15,3,183,M,37,7,3,87,-96,Severe
16,8,200,F,27,6,7,79,-121,Severe
11,8,140,M,64,9,7,115,-25,Severe
11,2,134,F,33,6,11,83,-51,Severe
11,7,139,M,47,8,0,96,-43,Severe
16,3,195,F,68,10,0,120,-75,Severe
14,6,174,M,34,7,0,84,-90,Severe
15,10,190,M,56,8,9,105,-85,Severe
12,0,144,M,27,6,7,79,-65,Severe
7,5,89,M,31,6,9,81,-8,Severe
9,2,110,F,83,11,6,138,28,Well
16,11,203,M,37,7,3,87,-116,Severe
12,0,144,F,81,11,4,136,-8,Severe
9,5,113,F,3,5,3,63,-50,Severe
16,11,203,F,96,12,10,154,-49,Severe
18,8,224,F,22,6,3,75,-149,Severe
16,3,195,F,80,11,3,135,-60,Severe
17,1,205,M,87,11,11,143,-62,Severe
6,9,81,F,84,11,7,139,58,Well
15,5,185,M,23,6,4,76,-109,Severe
8,6,102,M,104,13,7,163,61,Well
13,9,165,F,88,12,0,144,-21,Severe
15,2,182,F,6,5,5,65,-117,Severe
13,6,162,F,72,10,4,124,-38,Severe
14,3,171,F,36,7,2,86,-85,Severe
14,10,178,F,39,7,5,89,-89,Severe
11,4,136,M,40,7,5,89,-47,Severe
7,3,87,F,40,7,5,89,2,Good
18,4,220,F,66,9,9,117,-103,Severe
9,1,109,F,25,6,5,77,-32,Severe
8,4,100,M,64,9,7,115,15,Well
16,9,201,M,8,5,6,66,-135,Severe
9,8,116,M,65,9,8,116,0,Neutral
17,0,204,F,39,7,5,89,-115,Severe
12,3,147,M,107,13,11,167,20,Well
16,4,196,F,101,13,4,160,-36,Severe
14,11,179,F,21,6,2,74,-105,Severe
5,7,67,M,10,5,7,67,0,Neutral
8,9,105,F,91,12,4,148,43,Well
13,1,157,F,84,11,7,139,-18,Severe
8,10,106,M,107,13,11,167,61,Well
12,0,144,M,58,9,0,108,-36,Severe
18,10,226,F,98,13,0,156,-70,Severe
18,0,216,M,71,10,3,123,-93,Severe
10,0,120,M,66,9,9,117,-3,Mild
14,3,171,M,49,8,2,98,-73,Severe
7,3,87,F,106,13,10,166,79,Well
11,7,139,F,99,13,1,157,18,Well
18,4,220,M,100,13,3,159,-61,Severe
8,3,99,F,69,10,1,121,22,Well
16,3,195,F,30,6,9,81,-114,Severe
8,10,106,M,58,9,0,108,2,Good
14,9,177,F,76,10,10,130,-47,Severe
7,9,93,F,58,9,0,108,15,Well
10,5,125,F,2,5,3,63,-62,Severe
7,1,85,M,66,9,9,117,32,Well
13,0,156,M,94,12,7,151,-5,Mild
11,6,138,F,8,5,6,66,-72,Severe
10,11,131,M,33,6,11,83,-48,Severe
14,2,170,F,56,8,9,105,-65,Severe
18,1,217,M,49,8,2,98,-119,Severe
8,3,99,F,68,10,0,120,21,Well
17,2,206,F,109,14,1,169,-37,Severe
5,0,60,M,110,14,3,171,111,Well
8,1,97,F,31,6,9,81,-16,Severe
12,6,150,F,21,6,2,74,-76,Severe
14,3,171,M,57,8,10,106,-65,Severe
9,7,115,F,16,5,11,71,-44,Severe
6,11,83,M,93,12,6,150,67,Well
6,0,72,M,47,8,0,96,24,Well
10,1,121,M,53,8,6,102,-19,Severe
6,11,83,M,104,13,7,163,80,Well
9,3,111,F,95,12,9,153,42,Well
9,4,112,M,91,12,4,148,36,Well
15,5,185,F,11,5,8,68,-117,Severe
5,7,67,F,83,11,6,138,71,Well
8,2,98,F,41,7,6,90,-8,Severe
13,2,158,M,98,13,0,156,-2,Mild
8,2,98,F,21,6,2,74,-24,Severe
16,8,200,M,58,9,0,108,-92,Severe
9,1,109,M,32,6,10,82,-27,Severe
15,8,188,M,81,11,4,136,-52,Severe
15,10,190,M,109,14,1,169,-21,Severe
12,1,145,M,30,6,9,81,-64,Severe
17,7,211,F,106,13,10,166,-45,Severe
15,7,187,F,2,5,3,63,-124,Severe
11,10,142,M,2,5,3,63,-79,Severe
15,0,180,M,36,7,2,86,-94,Severe
10,7,127,F,28,6,8,80,-47,Severe
11,3,135,F,79,11,1,133,-2,Mild
5,3,63,F,35,7,1,85,22,Well
7,3,87,M,11,5,8,68,-19,Severe
11,1,133,M,5,5,5,65,-68,Severe
6,3,75,M,86,11,10,142,67,Well
11,2,134,F,105,13,9,165,31,Well
12,4,148,F,25,6,5,77,-71,Severe
15,11,191,M,83,11,6,138,-53,Severe
17,0,204,F,70,10,2,122,-82,Severe
6,10,82,M,71,10,3,123,41,Well
9,1,109,F,22,6,3,75,-34,Severe
7,0,84,M,100,13,3,159,75,Well
12,6,150,M,80,11,3,135,-15,Severe
14,8,176,F,83,11,6,138,-38,Severe
13,4,160,F,52,8,5,101,-59,Severe
11,1,133,F,28,6,8,80,-53,Severe
9,10,118,M,57,8,10,106,-12,Severe
5,7,67,F,12,5,9,69,2,Good
6,0,72,M,33,6,11,83,11,Well
6,5,77,F,40,7,5,89,12,Well
15,3,183,F,47,8,0,96,-87,Severe
14,1,169,F,97,12,11,155,-14,Severe
7,6,90,M,38,7,4,88,-2,Mild
17,7,211,F,7,5,6,66,-145,Severe
7,3,87,M,23,6,4,76,-11,Severe
13,10,166,F,55,8,8,104,-62,Severe
13,3,159,M,25,6,5,77,-82,Severe
5,1,61,M,39,7,5,89,28,Well
9,9,117,F,77,10,11,131,14,Well
11,0,132,F,54,8,7,103,-29,Severe
12,2,146,F,72,10,4,124,-22,Severe
13,6,162,M,50,8,3,99,-63,Severe
10,3,123,F,92,12,5,149,26,Well
7,5,89,M,7,5,6,66,-23,Severe
16,9,201,M,28,6,8,80,-121,Severe
9,3,111,M,67,9,10,118,7,Well
11,8,140,F,68,10,0,120,-20,Severe
6,4,76,F,80,11,3,135,59,Well
8,3,99,F,67,9,10,118,19,Well
11,9,141,F,40,7,5,89,-52,Severe
16,11,203,M,77,10,11,131,-72,Severe
8,10,106,F,92,12,5,149,43,Well
15,9,189,F,61,9,3,111,-78,Severe
8,8,104,M,72,10,4,124,20,Well
10,1,121,M,88,12,0,144,23,Well
5,10,70,M,91,12,4,148,78,Well
11,1,133,F,14,5,10,70,-63,Severe
9,10,118,M,71,10,3,123,5,Good
5,6,66,F,12,5,9,69,3,Good
12,4,148,F,50,8,3,99,-49,Severe
5,10,70,F,14,5,10,70,0,Neutral
14,3,171,F,84,11,7,139,-32,Severe
17,3,207,M,74,10,7,127,-80,Severe
8,9,105,F,14,5,10,70,-35,Severe
7,3,87,F,20,6,2,74,-13,Severe
5,8,68,M,69,10,1,121,53,Well
6,8,80,F,25,6,5,77,-3,Mild
14,9,177,M,56,8,9,105,-72,Severe
9,0,108,F,11,5,8,68,-40,Severe
